model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS8FXD1,U(Android 14),2024-04-22,2024-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS7FXC2,U(Android 14),2024-03-25,2024-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS7FXA6,U(Android 14),2024-02-26,2024-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS7FWL6,U(Android 14),2024-02-06,2024-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU7FWK6,U(Android 14),2024-02-02,2023-12-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS7EWK2,T(Android 13),2023-11-21,2023-11-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS7EWJ5,T(Android 13),2023-11-02,2023-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS7EWI3,T(Android 13),2023-10-18,2023-09-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU7EWH7,T(Android 13),2023-09-20,2023-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS7EWH5,T(Android 13),2023-08-30,2023-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS7EWG1,T(Android 13),2023-07-20,2023-07-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU6EWF2,T(Android 13),2023-07-11,2023-06-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS6EWE3,T(Android 13),2023-05-31,2023-05-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU5EWD2,T(Android 13),2023-05-09,2023-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS4EWC1,T(Android 13),2023-03-28,2023-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU4EWBD,T(Android 13),2023-03-09,2023-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU3DWA5,T(Android 13),2023-01-31,2023-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU3DVL1,T(Android 13),2023-01-19,2022-12-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS3DVK6,T(Android 13),2022-12-27,2022-11-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU3DVK4,T(Android 13),2022-12-08,2022-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS3CVI5,S(Android 12),2022-10-20,2022-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU3CVH7,S(Android 12),2022-09-29,2022-09-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU3CVG7,S(Android 12),2022-08-19,2022-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU3CVG2,S(Android 12),2022-08-09,2022-07-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU2CVF1,S(Android 12),2022-06-28,2022-06-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU2CVDA,S(Android 12),2022-05-24,2022-05-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS2CVC8,S(Android 12),2022-04-27,2022-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU1CVC5,S(Android 12),2022-04-05,2022-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS1BVB8,S(Android 12),2022-03-11,2022-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFA,021508220211,SM-G990E/XFA, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU1BUL5,S(Android 12),2022-02-11,2022-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021508220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU8FXD3,U(Android 14),2024-06-10,2024-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS8FXD1,U(Android 14),2024-04-22,2024-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS7FXC2,U(Android 14),2024-03-25,2024-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS7FXA6,U(Android 14),2024-02-26,2024-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS7FWL6,U(Android 14),2024-02-06,2024-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU7FWK6,U(Android 14),2024-02-02,2023-12-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS7EWK2,T(Android 13),2023-11-21,2023-11-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS7EWJ5,T(Android 13),2023-11-02,2023-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS7EWI3,T(Android 13),2023-10-18,2023-09-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU7EWH7,T(Android 13),2023-09-20,2023-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS7EWH5,T(Android 13),2023-08-30,2023-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS7EWG1,T(Android 13),2023-07-20,2023-07-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU6EWF2,T(Android 13),2023-07-11,2023-06-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS6EWE3,T(Android 13),2023-05-31,2023-05-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU5EWD2,T(Android 13),2023-05-09,2023-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS4EWC1,T(Android 13),2023-03-28,2023-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU4EWBD,T(Android 13),2023-03-09,2023-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU3DWA5,T(Android 13),2023-01-31,2023-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU3DVL1,T(Android 13),2023-01-19,2022-12-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS3DVK6,T(Android 13),2022-12-27,2022-11-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU3DVK4,T(Android 13),2022-12-08,2022-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS3CVI5,S(Android 12),2022-10-20,2022-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU3CVH7,S(Android 12),2022-09-29,2022-09-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU3CVG7,S(Android 12),2022-08-19,2022-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU3CVG2,S(Android 12),2022-08-09,2022-07-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU2CVF1,S(Android 12),2022-06-28,2022-06-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU2CVDA,S(Android 12),2022-05-24,2022-05-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS2CVC8,S(Android 12),2022-04-28,2022-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU1CVC5,S(Android 12),2022-04-05,2022-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXS1BVB8,S(Android 12),2022-03-11,2022-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFE,021514220211,SM-G990E/XFE, South Africa,South Africa,No-carrier,Africa,Sub-Saharan Africa,G990EXXU1BUL5,S(Android 12),2022-02-11,2022-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021514220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXU8FXD3,U(Android 14),2024-06-10,2024-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXS8FXD1,U(Android 14),2024-04-22,2024-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXS7FXC2,U(Android 14),2024-03-25,2024-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXS7FXA6,U(Android 14),2024-02-26,2024-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXS7FWL6,U(Android 14),2024-02-06,2024-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXU7FWK6,U(Android 14),2024-02-02,2023-12-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXS7EWK2,T(Android 13),2023-11-21,2023-11-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXS7EWJ5,T(Android 13),2023-11-02,2023-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXS7EWI3,T(Android 13),2023-10-18,2023-09-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXU7EWH7,T(Android 13),2023-09-20,2023-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXS7EWH5,T(Android 13),2023-08-30,2023-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXS7EWG1,T(Android 13),2023-07-20,2023-07-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXU6EWF2,T(Android 13),2023-07-11,2023-06-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXS6EWE3,T(Android 13),2023-05-31,2023-05-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXU5EWD2,T(Android 13),2023-05-09,2023-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXS4EWC1,T(Android 13),2023-03-28,2023-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXU4EWBD,T(Android 13),2023-03-09,2023-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXU3DWA5,T(Android 13),2023-01-31,2023-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXU3DVL1,T(Android 13),2023-01-19,2022-12-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXS3DVK6,T(Android 13),2022-12-27,2022-11-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXU3DVK4,T(Android 13),2022-12-08,2022-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXS3CVI5,S(Android 12),2022-10-20,2022-10-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXU3CVH7,S(Android 12),2022-09-29,2022-09-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXU3CVG7,S(Android 12),2022-08-19,2022-08-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXU3CVG2,S(Android 12),2022-08-09,2022-07-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXU2CVF1,S(Android 12),2022-06-28,2022-06-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXU2CVDA,S(Android 12),2022-05-24,2022-05-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXS2CVC8,S(Android 12),2022-04-27,2022-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXU1CVC5,S(Android 12),2022-04-05,2022-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXS1BVB8,S(Android 12),2022-03-11,2022-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XFV,021507220211,SM-G990E/XFV, South Africa (Vodafone),South Africa,Vodafone,Africa,Sub-Saharan Africa,G990EXXU1BUL5,S(Android 12),2022-02-11,2022-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021507220211/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXS9FXE2,U(Android 14),2024-05-29,2024-05-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXU8FXD3,U(Android 14),2024-05-20,2024-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXS8FXD1,U(Android 14),2024-04-17,2024-04-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXS7FXC2,U(Android 14),2024-03-20,2024-03-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXS7FXA6,U(Android 14),2024-02-22,2024-02-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXS7FWL6,U(Android 14),2024-01-16,2024-01-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
SM-G990E,XID,021199220114,SM-G990E/XID, Indonesia,Indonesia,No-carrier,Asia,South-eastern Asia,G990EXXU7FWK6,U(Android 14),2023-12-20,2023-12-01,Galaxy S21 FE 5G ,https://doc.samsungmobile.com/SM-G990E/021199220114/eng.html
